uf,state,cases,deaths,suspects,refuses
SP,São Paulo,6650301,180978,5334,596
MG,Minas Gerais,4209719,65740,925,104
RS,Rio Grande do Sul,3051755,42428,416,330
PR,Paraná,2949869,46450,400,119
RJ,Rio de Janeiro,2822569,77367,1254,148
SC,Santa Catarina,2028954,22859,346,47
GO,Goiás,1949272,28311,353,55
BA,Bahia,1805388,31696,573,36
CE,Ceará,1470946,28211,493,89
ES,Espírito Santo,1339090,15107,71,21
PE,Pernambuco,1191503,23012,89,23
DF,Distrito Federal,911135,11871,327,107
MT,Mato Grosso,886763,15139,45,8
PA,Pará,884181,19146,43,23
PB,Paraíba,712789,10575,85,11
AM,Amazonas,637301,14481,18,26
MS,Mato Grosso do Sul,615459,11085,93,26
RN,Rio Grande do Norte,592076,8993,108,22
MA,Maranhão,496960,11078,125,13
RO,Rondônia,487941,7466,61,2
PI,Piauí,433438,8393,12,2
TO,Tocantins,371606,4245,13,0
SE,Sergipe,363112,6535,15,11
AL,Alagoas,340853,7300,43,22
AP,Amapá,186293,2169,15,0
RR,Roraima,185825,2199,9,0
AC,Acre,163959,2063,12,0
